,Topic 1,Topic 2,Topic 3
women's basketball,0.06578592956066132,0.0,0.02603514865040779
bold typography,0.04424605518579483,0.0,0.0
textured background,0.042446319013834,0.0,0.0
university of texas,0.03935666382312775,0.0,0.0
sports graphic,0.031550824642181396,0.0,0.0
blurred background,0.03071179799735546,0.0,0.0
female basketball player,0.02984696999192238,0.04346368834376335,0.019545793533325195
athlete portrait,0.02776091732084751,0.0,0.0
sports photography,0.025148427113890648,0.03715953230857849,0.04738110303878784
sports action,0.02431095764040947,0.019928473979234695,0.0
texas longhorns,0.023733580484986305,0.01971382647752762,0.02543097361922264
game action,0.02289704978466034,0.0,0.0
dynamic,0.021470924839377403,0.0,0.0
texas women's basketball,0.019748426973819733,0.0,0.0
longhorn logo,0.019620507955551147,0.0,0.0
sports promotional graphic,0.017875755205750465,0.0,0.0
close-up,0.017874322831630707,0.0,0.0
smiling portrait,0.017692802473902702,0.0,0.0
female athlete,0.016169168055057526,0.013154415413737297,0.02030772902071476
basketball player,0.01606331765651703,0.0,0.03735022619366646
candid moment,0.0,0.0447661429643631,0.0
basketball game,0.0,0.04455184563994408,0.021886508911848068
indoor arena,0.0,0.04135575518012047,0.02793286368250847
dark background,0.0,0.034567080438137054,0.0
sports arena,0.0,0.03319323807954788,0.0
shallow depth of field,0.0,0.028540974482893944,0.04146602004766464
braided hair,0.0,0.022976696491241455,0.0
hook 'em horns gesture,0.0,0.022888438776135445,0.0
dramatic lighting,0.0,0.019434189423918724,0.0
candid shot,0.0,0.01850268431007862,0.0
focused expression,0.0,0.016571123152971268,0.0
smiling woman,0.0,0.01562558487057686,0.02839936688542366
action shot,0.0,0.01556084118783474,0.04803529381752014
women's basketball team,0.0,0.013714290224015713,0.0
indoor event,0.0,0.01329310704022646,0.0
indoor court,0.0,0.0,0.04523412138223648
orange jersey,0.0,0.0,0.03283434361219406
indoor sports arena,0.0,0.0,0.032465096563100815
women's basketball game,0.0,0.0,0.029434995725750923
sports event,0.0,0.0,0.02546425722539425
smiling,0.0,0.0,0.024590056389570236
candid portrait,0.0,0.0,0.02356012538075447
basketball hoop,0.0,0.0,0.022124581038951874
curly hair,0.0,0.0,0.020005125552415848
